SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,6206 Castejon,La Jolla,CA,92037,1749000,4,3,La Jolla,2653,20300,1980,4,Garage,17,Active,,,,,1749000,4/16/2003,975500,http://www.redfin.com/CA/San-Diego/6206-Castejon-Dr-92037/home/4939778,San Diego County's Regional Multiple Listing Service (SANDICOR),160043307,Willis Allen Real Estate,N,Y,32.827781,-117.248889,FALSE
MLS Listing,Single Family Residential,1954 Via Casa Alta,La Jolla,CA,92037,6999000,5,8,La Jolla,6781,20499,1990,3,Garage,18,Active,,,,,6999000,6/19/1992,2500000,http://www.redfin.com/CA/San-Diego/1954-Via-Casa-Alta-92037/home/4924580,San Diego County's Regional Multiple Listing Service (SANDICOR),160043113,Billionaires Row,N,Y,32.8411339,-117.25348,FALSE
MLS Listing,Single Family Residential,6515 Neptune,La Jolla,CA,92037,4999000,3,3,La Jolla,2155,5807,1975,3,Garage,18,Active,,,,,4999000,,,http://www.redfin.com/CA/San-Diego/6515-Neptune-Pl-92037/home/4917254,San Diego County's Regional Multiple Listing Service (SANDICOR),160042945,Peter Buckley,N,Y,32.8265718,-117.2793283,FALSE
MLS Listing,Single Family Residential,8227 Caminito Maritimo,La Jolla,CA,92037,1625000,4,3,La Jolla,3214,,1975,3,Garage,19,Active,,,,,1625000,3/12/2013,1236000,http://www.redfin.com/CA/San-Diego/8227-Caminito-Maritimo-92037/home/4880728,San Diego County's Regional Multiple Listing Service (SANDICOR),160042767,Pacific Sotheby's Int'l Realty,N,Y,32.855613,-117.243084,FALSE
MLS Listing,Single Family Residential,5226 Vickie Dr,Pacific Beach,CA,92109,1850000,7,4,Pacific Beach,3498,,2005,6,Garage,19,Active,,,,,1850000,11/3/1977,97500,http://www.redfin.com/CA/San-Diego/5226-Vickie-Dr-92109/home/5135830,San Diego County's Regional Multiple Listing Service (SANDICOR),160042728,Pacific Sotheby's Int'l Realty,N,Y,32.8114938,-117.2479439,FALSE
MLS Listing,Single Family Residential,6648 Muirlands Dr,La Jolla,CA,92037,3795000,6,5,La Jolla,4166,,1967,8,Garage,20,Active,,,,,3795000,10/19/2010,1860000,http://www.redfin.com/CA/San-Diego/6648-Muirlands-Dr-92037/home/4922025,San Diego County's Regional Multiple Listing Service (SANDICOR),160042709,Berkshire Hathaway HomeService,N,Y,32.831856,-117.261958,FALSE
MLS Listing,Condo/Coop,8581 Villa La Jolla Dr Unit J,La Jolla,CA,92037,291000,0,1,La Jolla,504,108900,1971,1,Garage,20,Active,,,,,291000,,,http://www.redfin.com/CA/San-Diego/8581-Villa-La-Jolla-Dr-92037/unit-J/home/4884384,San Diego County's Regional Multiple Listing Service (SANDICOR),160042599,Marc R. Perlman,N,Y,32.8646015,-117.2342035,FALSE
MLS Listing,Townhouse,8440 VIA MALLORCA #120,LA JOLLA,CA,92037,319000,1,1,La Jolla,506,,1974,1,,20,Active,,,,,319000,9/16/2005,350000,http://www.redfin.com/CA/San-Diego/8440-Via-Mallorca-92037/unit-120/home/6681218,San Diego County's Regional Multiple Listing Service (SANDICOR),160042563,Coldwell Banker Res. Brokerage,N,Y,32.8601735,-117.2353336,FALSE
MLS Listing,Condo/Coop,3264 Via Marin #35,La Jolla,CA,92037,444900,2,1,La Jolla,832,,1980,1,Garage,21,Active,,,,8/7/2016,449900,,,http://www.redfin.com/CA/San-Diego/3264-Via-Marin-92037/unit-35/home/4884224,San Diego County's Regional Multiple Listing Service (SANDICOR),160042458,Property Brokers,N,Y,32.8567589,-117.2331,FALSE
MLS Listing,Single Family Residential,5620 La Jolla Blvd,La Jolla,CA,92037,1449000,4,5,La Jolla,2308,,1990,2,Garage,21,Active,,,,,1449000,6/28/2013,1290000,http://www.redfin.com/CA/San-Diego/5620-La-Jolla-Blvd-92037/home/6504983,San Diego County's Regional Multiple Listing Service (SANDICOR),160042331,Anthony Realty Group,N,Y,32.814139,-117.2701,FALSE
MLS Listing,Single Family Residential,2175 Calle Frescota,La Jolla,CA,92037,2395000,3,2,La Jolla,1792,5620,1964,6,Garage,21,Active,,,,8/13/2016,2490000,,,http://www.redfin.com/CA/San-Diego/2175-Calle-Frescota-92037/home/4876112,San Diego County's Regional Multiple Listing Service (SANDICOR),160042255,Apogee Realty,N,Y,32.8565522,-117.2558271,FALSE
MLS Listing,Condo/Coop,1056 Pearl #19,La Jolla,CA,92037,882000,2,2,La Jolla,1233,,2012,2,Garage,21,Active,,,,,882000,,,http://www.redfin.com/CA/San-Diego/1056-Pearl-St-92037/unit-19/home/52346203,San Diego County's Regional Multiple Listing Service (SANDICOR),160042241,Coldwell Banker Res. Brokerage,N,Y,32.8409636,-117.2718016,FALSE
MLS Listing,Single Family Residential,7971 Prospect Pl,La Jolla,CA,92037,4800000,4,4,La Jolla,3860,5169,2010,10,Garage,22,Active,,,,,4800000,9/15/2006,1300000,http://www.redfin.com/CA/San-Diego/7971-Prospect-Pl-92037/home/4906783,San Diego County's Regional Multiple Listing Service (SANDICOR),160042165,Pacific Sotheby's Int'l Realty,N,Y,32.848523,-117.269565,FALSE
MLS Listing,Townhouse,1319 CAMINITO ARRIATA,La Jolla,CA,92037,1999900,3,3,La Jolla,2611,6454,2005,3,Garage,23,Active,,,,8/7/2016,2195000,8/11/2006,2250000,http://www.redfin.com/CA/San-Diego/1319-Caminito-Arriata-92037/home/4945772,San Diego County's Regional Multiple Listing Service (SANDICOR),160042145,Keller Williams Realty,N,Y,32.814378,-117.251663,FALSE
